Term_EN,Term_ES,Definition
Professional Centres Canada LP,Professional Centres Canada LP,
Projects Wiki,,
Projects Wiki Glossary,,
Property Management,Administración de Propiedades,
Property Management Fees,,
Proxy Developer,,
Prototype,Prototipo,
Private SPV,,
Public Oversight,,
Public Float,Flotante Público,
Qualified Investment,Qualified Investment,
Real Economy,,
Real Estate,,
Real Estate Agents,,
Real Estate Community,,
Real Estate Investment Trust(s) or REITs,,
Real Property,,
Record Keeping,Mantenimiento de Registros,
Referral Fees,,
Regional Markets,Mercados Regionales,
Registered Dealers,Distribuidores Registrados,
Registered Investment Advisors,,
Regulated Reporting Entities,Entidades de Información Reguladas,
Regulatory Filings,,
Regulatory Releases,,
REITs,Fideicomisos de Inversión en Bienes Raíces (FIBRAs),
Reporting Issuer,Entidades de Información Reguladas,
Retail Select,Retail Select,
Revenues,,
Right of First Refusal,Derecho de Preferencia,
Retained Equity,,
Self-Similar Governance,,
Secretary Pool,,
Securities,,
Securities Commission,Comisión de Valores,
Securities Regulator,,
Service Providers,,
Set-of-Five Emails,,
Share Capital or Unit Capital,,
Share-based Executive Compensation,,
Equity-Based Compensation,,
Shares,Acciones,
Socratic Dialogue,,
Special Purpose Vehicle or (SPV),Special Purpose Vehicle,
Stakeholder(s),,
Strategic Partnerships,Alianzas Estratégicas,
Suburban Office,Suburban Office,
Supervisory Board,,
System for Electronic Document Analysis and Retrieval or SEDAR,,
Tear Sheet,,
Tear Sheet – Alternative Real Estate,Gráfico de Bienes Raíces Alternativos,
Tear Sheet – Management Team,,
Tear Sheet – Org Chart,,
Tear Sheet – Partnerships,,
Tear Sheet – Qualified Investments,,
Tear Sheet – WCP,,
Tech Community,,
Tech Industrial,Tech Industrial,
Terminus Capitalization Rate,,
Topics,,
Total Expense Ratio,,
Track Record,,
Traders,,
Trust Units,UNIDADES DE FIDEICOMISO,
Unit Capital,,
Unit Capitalization or Share Capitalization,,
Unit-based Management Compensation,,
Use Case,Caso de Uso,
Value Add,Value Add,
Venture Capital,,
Vertical Warehouses,Vertical Warehouses,
Warehouse Clubs,,
WCP,WCP,
WCP Common Shares,,
WCP Investor Presentation,,
WCP Shareholders Agreement,,
Whitepaper,,
Whitepaper Discovery Process,,
Wholesale Club,,
WOODFINE BUILDINGS,EDIFICIOS WOODFINE,
Woodfine Capital Projects Inc.,Woodfine Capital Projects Inc.,
Woodfine Group,El Grupo Woodfine,
Woodfine Limited Partnerships,Woodfine Limited Partnerships,
Woodfine LP Investor Presentation,,
Woodfine LPs,,
Woodfine or the Firm,,
Woodfine Professional Centres Limited Partnership (Canada),Woodfine Professional Centres Limited Partnership (Canada),
Woodfine Professional Centres,,
Access Funds,,
Oversight Committees,,
Human-Centre Wellness,,
Leverage Cycle,,
Universal Governing Bylaws,,
Institutional-Grade Woodfine Buildings,,
Administrator,,
Know Your Client (KYC),KYC,Banking compliance requirement.
Custodial Control,Control de Custodia,Flexibility for investors to hold allocations in standard brokerage accounts.
Jurisdictional Diversification,Diversificación Jurisdiccional,Utilizing external SPVs or Club Deals to optimize tax treaties.
Legacy Cash Flow,Flujo de Caja Legado,The primary yield generated from stabilized assets and Organic Deleveraging.
Environmental Performance,Rendimiento Ambiental,Baseline criteria for energy efficiency and carbon footprint reduction.
Jurisdictional Framework,Marco Jurisdiccional,Replaces 'Architecture' to avoid double-meaning with physical real estate.
Domestic Investor Alignment,Alineación de Inversores Nacionales,Structuring vehicle for domestic residents to protect profit margins.
Qualified Private Capital,Capital Privado Calificado,Global bridge term for Accredited or Professional investors.
Preserved Fees,Comisiones Preservadas,Cash management fees available to asset managers due to equity carry.
Organic Deleveraging,Desapalancamiento Orgánico,Debt reduction driven by income cash flow.
HISTORY,HISTORIA,Header reference for the History section of the narrative.
FINANCIAL MODEL,MODELO FINANCIERO,Header reference for the economic structure.
INVESTMENT STRATEGY,ESTRATEGIA DE INVERSIÓN,Header reference for the deployment logic.
ALTERNATIVE INVESTING,INVERSIÓN ALTERNATIVA,Header reference for the asset class context.
DIRECT-HOLD SOLUTIONS,SOLUCIONES DE TENENCIA DIRECTA,Header reference for the investment platform and vehicles.
STRATEGIC PARTNERSHIPS,ALIANZAS ESTRATÉGICAS,Header reference for the tripartite management structure.
WOODFINE CAPITAL PROJECTS,WOODFINE CAPITAL PROJECTS INC.,Header reference for the Parent Company section.
CONCLUSION,CONCLUSIÓN,Header reference for the final summary.
GLOBAL INVESTMENT TERMINOLOGY,TERMINOLOGÍA DE INVERSIÓN GLOBAL,[Updated] Header reference for the cross-border nomenclature reading guide.
GLOSSARY,GLOSARIO,Header reference for the definition ledger.
Woodfine Management Corp.,Woodfine Management Corp.,"The Principal Manager executing the Direct-Hold Solutions."
Promoter,Promotor,Statutory reference to Woodfine Capital Projects Inc. for BCSC compliance.
Principal Manager,Gerente Principal,Operational term for Woodfine Management Corp.
Professional Centres Canada LP,Professional Centres Canada LP,The operational designation for reporting and presentations (Tier 2).
Canada LP,Canada LP,The analytical designation for financial modeling (Tier 3).
Woodfine Professional Centres 2 Limited Partnership,Woodfine Professional Centres 2 Limited Partnership,The formal statutory entity for the United States jurisdiction (Tier 1).
Professional Centres United States LP,Professional Centres United States LP,The operational designation for reporting and presentations (Tier 2).
United States LP,United States LP,The analytical designation for financial modeling (Tier 3).
Woodfine Professional Centres 3 Sociedad Anónima Cotizada de Inversión Inmobiliaria,Woodfine Professional Centres 3 Sociedad Anónima Cotizada de Inversión Inmobiliaria,The formal statutory entity for the Spanish jurisdiction (Tier 1).
Professional Centres Spain SOCIMI,Professional Centres Spain SOCIMI,The operational designation for reporting and presentations (Tier 2).
Spain SOCIMI,Spain SOCIMI,The analytical designation for financial modeling (Tier 3).
Woodfine Professional Centres 4 Fideicomiso de Infraestructura en Bienes Raíces,Woodfine Professional Centres 4 Fideicomiso de Infraestructura en Bienes Raíces,The formal statutory entity for the Mexican jurisdiction (Tier 1).
Professional Centres Mexico FIBRA,Professional Centres Mexico FIBRA,The operational designation for reporting and presentations (Tier 2).
Mexico FIBRA,Mexico FIBRA,The analytical designation for financial modeling (Tier 3).
10% Ownership,10% propiedad,The specific equity stake retained by the Parent Company.
100% Beneficial Ownership,100% de propiedad benficiosa de bienes inmubles,Indicates full ownership control of the underlying real estate assets.
Investors,Inversores,Universal term for participants in a Direct-Hold Solution; act as 'proxy developers'.
Advisor,ASESORES DE INVERSIÓN AUTORIZADOS,The entity proposing Qualified Investments to the General Partner.
Asset Managers,Gestores de Activos,Third-party entities responsible for managing the assets in the tripartite structure.
Registered Dealers,Distribuidores Registrados,Authorized agents permitted to sell the securities.
Macquarie Capital,Macquarie Capital,Investment banker that suggested the 90-10 split structure.
PwC,PwC,Auditor that established initial terms and prospectus.
Deloitte,Deloitte,Auditor that verified the financial modeling.
NYSE American,NYSE American,The target exchange for the Parent Company listing.
Canada,Canadá,Target market for Transaction #1.
US,Estados Unidos (EE. UU.),Target market for Transaction #2.
Spain,España,Target market for Transaction #3.
Mexico,México,Target market for Transaction #4.
North America,Norteamérica,Context for Walmart’s expansion studies.
Western Canada,Western Canada,Location of Peter’s early work with National Retailers.
New York,New York,Location of the management company’s small office.
Institutional-Grade Regional Real Estate,Bienes Raíces Regionales de Grado Institucional,Real estate designation for the highest quality buildings.
Governance Structure,Estructura de Gobernanza,Governing contract; mandates 3:1 parking.
SOCIMI,SOCIMI,Flow-through corporate vehicle used for Direct-Hold Solutions in Spain.
FIBRA,FIBRA,Flow-through trust vehicle used for Direct-Hold Solutions in Mexico.
Joint Venture,Empresa Conjunta,Historical structure used by Peter.
Net Asset Value (NAV),Net Asset Value,Underlying asset value.
Distributable Income,Ingresos Distribuibles,Basis for the 10% buyback.
Regulated Reporting Entity,Entidad Pública Regulada,Bridge term encompassing 'Public Non-Listed' status; indicates public oversight.
Ongoing Reporting Requirements,Requisitos de Informes Continuos,Filing obligations.
Cyclical Funding Model,Modelo de Financiamiento Cíclico,Cyclical funding model (stabilize -> issue debt -> build next).
Transaction #1,Transaction #1,Funding round for Canada.
Transaction #2,Transaction #2,Funding round for US.
Transaction #3,Transaction #3,Funding round for Spain.
Transaction #4,Transaction #4,Funding round for Mexico.
Transaction Summary,RESUMEN DE LA TRANSACCIÓN,Proposal document for Qualified Investments.
Traditional REITs,Fideicomisos de Inversión Tradicionales,Comparative asset class.
International Real Estate,Inversión Inmobiliaria Internacional,The broader market context for the investment.
Financial Forecast,Pronóstico Financiero,Forward-looking financial modeling/projections.
Debt to Asset,Deuda a activos,Financial leverage ratio.
Listed,Cotizada (Listed),Admission to trading on an exchange.
Exchange-Traded,Negociada en Bolsa,Active buying/selling.
Registered,Inscrita (Registered),Registration with Securities Commission.
Freely Transferable,De Libre Transmisión,No restriction on sale.
CBFI,CBFI (Certificado Bursátil),Specific equity trust certificate for a Mexican FIBRA.
Certificate,Título / Certificado,Evidence of ownership.
Holder,Tenedor / Titular,Owner of the Unit/Share.
Common Equity,Capital Ordinario,Standard class of equity (1:1 alignment).
Universal Governing Documents,Documentos de Gobierno Universales,"Core contracts (LPA, Bylaws, Trust Deed) containing proprietary investor protections."
Independent Oversight Committee,Comité de Supervisión Independiente,Discrete, jurisdiction-specific fiduciary body overseeing the Principal Manager; each Direct-Hold Solution has its own (no global committee).
Separation of Debt and Equity,Separación de Deuda y Capital,Plain language for distinct treatment of public debt and private equity.
Structural Reserve,Reserva Estructural,Financial buffer created by Retained Equity.
Loan-to-Value,Relación Préstamo a Valor,The debt-to-asset ratio (plain-language standard).
Over-The-Counter (OTC),Mercado Extrabursátil (OTC),Trading logic for unlisted North American and Mexican equity.
Electronic Matching,Emparejamiento Electrónico,Trading logic for listed Spanish equity.
Transfer Certificate,Certificado de Transferencia,Transfer guard mechanism for unlisted equity.
Admission Protocol,Protocolo de Admisión,Transfer guard mechanism for Spanish SOCIMI shares.
Exchange-Qualified,Calificado para Bolsa,Meeting exchange standards without triggering nomenclature fractures.
Securities-Registered,Inscrita en el Registro de Valores,Bridge term for national securities registries.
General Partner or Administrator,Socio Colectivo o Administrador,Specific legal signatories subject to Strategic Minimization.
Central Securities Depository,Depósito Central de Valores,"National ledger for securities (CDS, DTC, Indeval, Iberclear)."
